DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P6210;P6210S1;P1366;P756;P756S3;P755;P755S3;P753;P753S3;P1662;P6080;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P1906S9;P3038;P3039
647725;237;1;1;1;601.2718683;4;406;5;2;;1;;1;;;9;4;4;3;3;4;4;4;4;4;1;2
647725;237;2;1;2;601.2718683;5;511;6;2;;1;;1;;;1;4;4;4;4;4;4;4;4;4;2;1
647725;237;3;1;3;601.2718683;6;600;5;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647726;237;1;1;1;775.70035657;6;605;5;1;;1;;1;;;9;4;4;3;3;4;4;4;4;3;1;2
647726;237;2;1;2;775.70035657;4;407;6;1;;1;;1;;;9;2;2;4;4;4;4;4;2;4;2;1
647727;237;1;1;1;654.2121073;6;600;4;1;;1;;1;;;9;4;4;3;4;4;4;4;4;3;1;2
647728;237;1;1;1;795.14079882;4;408;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647728;237;2;1;2;795.14079882;3;305;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647728;237;3;1;3;795.14079882;4;408;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
647729;237;1;1;1;682.6931928;5;511;3;1;;1;;1;;;9;4;4;3;4;4;4;4;4;3;2;1
647729;237;2;1;2;682.6931928;5;511;3;1;;1;;1;;;9;4;4;3;4;4;4;4;4;3;1;2
647729;237;3;1;3;682.6931928;6;600;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647730;237;1;1;1;573.58411;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647730;237;2;1;2;573.58411;6;600;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647731;237;1;1;1;997.25704539;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647731;237;2;1;2;997.25704539;5;510;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;3;1;2
647731;237;3;1;3;997.25704539;4;409;6;1;;1;;1;;;9;4;4;4;4;4;4;4;2;4;;
647732;237;1;1;1;654.2121073;5;513;6;2;;1;;1;;;9;4;4;3;3;4;4;4;4;4;1;2
647733;237;1;1;1;1307.492992;4;409;3;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647733;237;2;1;2;1307.492992;5;511;3;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647733;237;3;1;3;1307.492992;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647733;237;4;1;4;1307.492992;5;510;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647735;237;1;1;1;637.31567777;6;600;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647735;237;2;1;2;637.31567777;6;600;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647736;237;1;1;1;840.97115899;5;510;5;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647737;237;1;1;1;717.54186244;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647737;237;2;1;2;717.54186244;5;511;6;2;;1;;1;;;5;4;4;4;4;4;4;4;4;4;1;2
647738;237;1;1;1;1036.4921876;5;511;5;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647738;237;2;1;2;1036.4921876;6;602;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647739;237;1;1;1;798.16395095;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647739;237;2;1;2;798.16395095;5;510;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
647740;237;1;1;1;1209.0189619;5;511;6;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
647740;237;2;1;2;1209.0189619;5;511;6;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647741;237;1;1;1;899.54164754;3;302;4;2;;1;;1;;;9;4;4;2;3;4;4;4;4;2;1;2
647742;237;1;1;1;1056.5216052;5;511;2;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;2;1
647742;237;2;1;2;1056.5216052;4;409;2;2;;1;;1;;;9;4;4;4;3;4;4;4;4;4;1;2
647742;237;3;1;3;1056.5216052;4;409;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647742;237;4;1;4;1056.5216052;1;100;4;2;;1;;1;;;9;2;1;1;1;1;1;1;1;1;1;2
647743;237;1;1;1;699.31378618;6;600;2;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;2;1
647743;237;2;1;2;699.31378618;6;600;2;1;;1;;1;;;9;4;4;3;4;4;4;4;4;4;1;2
647744;237;1;1;1;875.77356812;5;511;5;2;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647744;237;2;1;2;875.77356812;4;409;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;;
647745;237;1;1;1;544.45193009;5;511;6;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647746;237;1;1;1;436.82773326;5;511;5;1;;1;;1;;;9;4;4;4;4;4;4;4;4;4;1;2
647746;237;2;1;2;436.82773326;5;511;2;2;;1;;1;;;9;4;4;4;4;4;4;4;4;3;1;2
647747;237;1;1;1;136.70779931;3;305;6;1;;1;;1;;;3;4;4;3;3;4;4;4;4;3;1;2
647747;237;2;1;2;136.70779931;6;600;2;1;;1;;1;;;3;4;4;4;4;4;4;4;4;4;1;2
