DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P220;P5785;P5501;P2057;P2059;P2061;P1402;P1403;P1365;P1364;P1363
647713;237;1;1;1;451.92763679;2;27;1;2;2;2;4;4;1;2;1
647713;237;2;1;2;451.92763679;1;2;3;;;;;;;;
647715;237;1;1;1;2059.4003014;1;49;1;2;2;2;4;4;1;8;3
647715;237;2;1;2;2059.4003014;2;49;2;2;2;2;4;4;1;2;3
647715;237;3;1;3;2059.4003014;2;27;3;2;2;2;4;4;3;;
647716;237;2;1;2;451.92763679;1;25;2;2;2;2;3;3;1;8;1
647716;237;3;1;3;451.92763679;1;2;3;;;;;;;;
647716;237;4;1;4;451.92763679;1;0;3;;;;;;;;
647716;237;1;1;1;451.92763679;2;23;1;2;2;2;3;3;4;;
647717;237;1;1;1;1932.9282564;1;30;1;2;2;2;3;3;1;6;3
647717;237;2;1;2;1932.9282564;2;30;2;2;2;2;3;3;4;;
647718;237;1;1;1;1932.9282564;2;45;1;2;2;2;4;3;4;;
647718;237;2;1;2;1932.9282564;1;26;3;2;2;2;4;3;3;;
647719;237;5;1;5;451.92763679;1;5;3;;;;;;;;
647719;237;1;1;1;451.92763679;1;47;1;2;2;2;4;3;1;6;1
647719;237;2;1;2;451.92763679;2;32;2;2;2;2;4;3;1;1;1
647719;237;3;1;3;451.92763679;2;12;3;;;;;;;;
647719;237;4;1;4;451.92763679;2;10;3;;;;;;;;
647720;237;1;1;1;1118.1159134;1;72;1;2;2;2;4;4;1;7;3
647720;237;2;1;2;1118.1159134;2;56;2;2;2;2;4;4;4;;
647720;237;3;1;3;1118.1159134;2;28;3;2;2;2;4;4;3;;
647721;237;1;1;1;451.92763679;1;49;1;2;2;2;4;4;1;1;3
647721;237;2;1;2;451.92763679;2;40;2;2;2;2;4;4;4;;
647721;237;3;1;3;451.92763679;2;21;3;2;2;2;4;4;3;;
647721;237;4;1;4;451.92763679;1;14;3;;;;;;;;
647721;237;5;1;5;451.92763679;1;10;3;;;;;;;;
647722;237;1;1;1;574.94809926;1;44;1;2;2;2;2;2;1;2;1
