DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P3105;P1361S20;P1361S14;P1361S21;P1361S3;P1361S4;P1361S5;P1361S22;P1361S23;P1361S7;P1361S11;P1361S24;P1361S12;P1361S13;P3106;P3502;P3107;P1358S16;P1358S13;P1358S17;P1358S3;P1358S4;P1358S5;P1358S18;P1358S19;P1358S7;P1358S12;P1358S20;P1358S10;P3108;P564;P3109S1;P3109S2;P3109S3;P3109S4;P3109S5;P3109S6;P3109S7;P3109S16;P3109S17;P3109S9;P3109S10;P3109S11;P3109S12;P3109S13;P3109S18;P3109S14;P3109S15;P3111S1;P3111S2;P3111S3;P3111S4;P3111S5;P3111S6;P3111S7;P3111S8;P3111S9;P3112S1;P3112S2;P3112S3;P3112S4;P3112S5;P3112S6;P3112S7;P3112S8;P3112S9;P3112S10;P3112S11;P3112S16;P3112S14;P3112S15;P1353S1;P1353S2;P1353S3;P1353S4;P1353S5;P1353S6;P3302S1;P3302S9;P3302S4;P3302S5;P3302S7;P3302S8;P3503S1;P3503S2;P3503S3;P3503S4;P3503S5;P3503S6
647682;237;1;1;1;208.87742961;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;5;5;2;5;2;;2;5;;1;1;;;;;;;;;1;;;2;2;2;2;1;2;2;2;2;2;2;2;4;5;3;3;4;4
647683;237;1;1;1;159.55777888;3;2;2;1;1;1;1;2;2;1;2;1;;;3;3;3;2;2;1;1;1;1;2;2;1;1;2;2;1;1;;;;1;;;;;;;;;;;;;;3;3;3;3;3;3;;3;3;1;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4
647683;237;2;1;2;159.55777888;3;2;2;1;1;1;1;2;2;1;2;1;;;3;3;3;2;2;1;1;1;2;2;2;2;1;2;2;3;1;;1;;;;;;;;;;;;;;;;3;3;3;3;3;3;;3;3;1;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;5;5;4;4;5;5
647683;237;3;1;3;159.55777888;3;2;2;2;1;1;1;2;2;2;2;2;;;3;3;3;2;2;2;1;1;1;2;2;1;1;2;2;3;2;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;;3;3;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;4;5;4;1;4;4
647683;237;4;1;4;159.55777888;3;2;2;2;1;1;1;1;2;2;2;1;;;3;3;3;2;2;2;2;1;1;2;2;1;1;2;2;3;1;;1;;;;;;;;;;;;;;;;2;3;3;3;3;3;;3;3;;1;;1;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;5;5;3;3;4;5
647684;237;1;1;1;150.70738763;3;2;2;1;1;1;1;2;2;1;2;1;;;3;3;3;1;2;1;1;1;1;2;2;1;1;1;1;3;2;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;;3;3;;;;;1;1;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;5;3;4;4;5
647684;237;2;1;2;150.70738763;3;1;2;1;1;1;1;2;2;1;2;1;;;3;3;3;1;2;1;1;1;1;2;2;1;1;1;1;3;1;;1;;;;;;1;;;;;;;;;;2;3;3;3;3;3;;3;3;1;1;;1;1;;;;;;;1;;;2;2;2;2;2;2;1;2;2;2;2;2;4;5;3;3;4;4
647685;237;1;1;1;224.26694589;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;2;3;5;2;3;;2;5;1;;;;1;1;;1;1;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;5;4;4;5;4;4
647685;237;2;1;2;224.26694589;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;2;3;5;2;3;;5;5;1;1;;;1;1;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;5;4;5
647687;237;1;1;1;209.67039096;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;2;2;3;3;3;3;;3;3;;1;;1;1;1;;;;;;1;;;2;1;1;2;1;2;1;1;1;2;1;2;5;5;4;4;4;4
647687;237;2;1;2;209.67039096;2;;;;;;;;;;;;;;2;2;3;2;2;1;2;1;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;2;2;2;3;2;3;;3;3;;;;;;;;;;;;1;;;2;2;1;2;2;2;2;2;2;2;2;2;5;4;4;4;4;4
647689;237;1;1;1;133.2681517;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;1;1;;1;;1;;;;;;;;;;;;;;2;2;3;3;3;3;;3;3;;;;;;;;;;;;;;2;1;1;1;2;1;1;2;2;2;2;2;2;5;4;5;5;5;5
647689;237;2;1;2;133.2681517;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;2;3;3;3;3;;3;4;;;;;;;;;;;;;;2;1;1;1;1;2;1;2;2;2;2;2;2;5;5;4;5;5;5
647690;237;1;1;1;131.84227904;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;2;3;3;3;3;;3;3;;;;;;;;;;;;;;2;2;2;1;2;1;1;2;2;2;2;2;2;5;3;4;5;5;5
647690;237;2;1;2;131.84227904;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;3;4;4;4;3;;4;4;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;5;5;5;5
647692;237;1;1;1;194.72849986;2;;;;;;;;;;;;;;3;2;3;2;2;2;2;1;1;2;2;2;1;2;2;2;1;;1;;;;;;;;;;;;;;;;1;2;2;3;3;3;;4;5;;;;;;1;;;;;;1;;;1;2;1;2;2;2;2;2;2;2;2;2;5;5;5;4;4;4
647692;237;2;1;2;194.72849986;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;1;2;3;3;3;3;;3;5;;;;;;1;;;;;;1;;;1;2;1;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4
647692;237;3;1;3;194.72849986;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;1;2;2;2;2;2;;2;5;;;;;1;;;;;;;1;;;2;2;2;2;2;2;1;2;2;2;2;2;4;5;5;9;5;5
647693;237;1;1;1;158.79628026;2;;;;;;;;;;;;;;3;2;3;2;2;1;2;1;2;2;2;1;1;2;2;2;1;;1;;;;;;;;;;;;;;;;2;2;2;3;3;3;;4;3;;;;;;1;;;;;;1;;;2;2;1;2;1;2;1;2;2;2;2;2;3;4;3;3;3;5
647695;237;1;1;1;500.74614296;2;;;;;;;;;;;;;;3;3;3;2;2;1;1;2;2;2;2;2;2;2;2;1;1;;1;;;;;;;;;;;;;;;;2;3;3;3;3;3;;3;5;;;;;1;1;;;;;;1;;;2;2;1;2;2;2;2;2;2;2;2;2;5;5;4;4;5;5
647695;237;2;1;2;500.74614296;2;;;;;;;;;;;;;;3;3;3;2;2;2;1;2;2;2;2;2;2;2;2;1;1;;1;;;;;;;;;;;;;;;;2;2;3;2;3;3;;3;2;;1;;;;;;;;;;;;;1;2;1;2;1;1;9;9;9;9;9;9;5;5;5;5;5;5
647695;237;3;1;3;500.74614296;2;;;;;;;;;;;;;;3;3;3;2;2;2;1;2;2;2;2;2;2;2;2;1;1;;1;;;;;;;;;;;;;;;;2;2;5;3;5;3;;3;5;;;;;1;;;;;;;;;;1;2;1;2;2;2;9;9;9;9;9;9;5;5;5;5;5;5
647695;237;4;1;4;500.74614296;3;2;2;1;1;1;2;2;2;2;2;2;;;3;3;3;2;2;1;1;1;2;2;2;2;2;2;2;1;1;;1;;;;;;;;;;;;;;;;2;3;3;3;3;4;;4;5;;;;;1;;;;;;;;;;2;2;2;2;2;2;9;9;9;9;9;9;5;5;5;5;5;5
647696;237;1;1;1;550.1759995;3;2;2;2;1;1;2;2;2;2;1;2;;;4;4;3;2;2;2;1;1;2;2;2;2;2;2;2;1;1;;1;;;;;;;;;;;;;;;;2;2;3;3;4;3;;4;5;;;;;;1;;;;;;;;;1;1;1;2;2;2;9;9;9;9;9;9;5;5;4;4;5;5
647696;237;2;1;2;550.1759995;3;2;2;2;1;1;2;2;2;2;2;2;;;3;4;3;2;2;2;1;1;2;2;2;2;2;2;2;1;1;;1;;;;;;;;;;;;;;;;2;2;3;4;4;4;;3;5;;;;;1;;;;;;;;;;2;2;2;2;2;2;9;9;9;9;9;9;5;5;5;5;5;5
647696;237;3;1;3;550.1759995;3;2;2;1;1;1;2;2;2;2;2;2;;;4;3;3;2;2;1;1;1;2;2;2;2;2;2;2;1;1;;1;;;;;;;;;;;;;;;;2;2;3;3;4;3;;4;2;;;;;1;1;;;;;;;;;1;1;1;2;2;1;2;2;2;2;2;2;5;5;4;4;5;5
647697;237;1;1;1;864.42906877;3;2;2;1;1;1;2;2;2;2;2;2;;;4;3;3;2;2;2;1;1;2;2;2;2;2;2;2;1;1;;1;;;;;;;;;;;;;;;;2;2;4;3;4;3;;4;5;;;;;1;;;;;;;1;;;2;2;2;2;2;2;9;9;9;9;9;9;5;5;4;3;5;5
647697;237;2;1;2;864.42906877;3;2;2;1;1;1;2;2;2;2;2;2;;;4;3;3;2;2;1;1;1;2;2;2;2;2;2;2;1;1;;1;;;;;;;;;;;;;;;;2;3;3;3;4;3;;4;5;;1;;;1;;;;;;;1;;;2;2;2;2;2;2;9;9;9;9;9;9;5;5;3;4;5;5
647697;237;3;1;3;864.42906877;3;2;2;2;1;1;2;2;2;2;2;2;;;4;3;3;2;2;2;1;1;2;2;2;2;2;2;2;1;1;;1;;;;;;;;;;;;;;;;2;2;3;3;4;3;;4;5;;1;;;1;;;;;;;;;;2;2;1;2;2;2;9;9;9;9;9;9;5;5;4;3;5;5
647697;237;4;1;4;864.42906877;3;2;2;2;1;2;2;2;2;2;2;2;;;4;3;3;2;2;2;1;2;2;2;2;2;2;2;2;1;1;;1;;;;;;;;;;;;;;;;2;2;5;2;5;3;;3;2;;;;;1;;;;;;;;;;1;2;1;2;2;2;9;9;9;9;9;9;5;5;5;2;2;5
647698;237;1;1;1;751.03383297;3;2;2;1;1;1;2;2;2;2;1;2;;;3;3;4;2;2;1;1;1;2;2;2;2;2;1;1;1;1;;1;;;;;;;;;;;;;;;;2;2;3;3;3;3;;4;5;;;;1;1;1;;;;;;;;;2;1;1;2;2;2;9;9;9;9;9;9;5;5;4;4;5;5
647698;237;2;1;2;751.03383297;3;2;2;1;1;1;2;2;2;2;1;2;;;4;3;4;2;2;1;1;1;2;2;2;2;2;1;1;1;1;;1;;;;;;;;;;;;;;;;2;2;4;3;4;3;;4;5;;1;;;;1;;;;;;;;;1;1;1;2;2;1;9;9;9;9;9;9;5;5;4;3;5;5
647699;237;1;1;1;793.15528584;3;2;2;1;1;1;2;2;2;2;2;2;;;4;3;3;2;2;1;1;1;2;2;2;2;2;2;2;1;1;;1;;;;;;;;;;;;;;;;2;2;4;3;4;3;;4;3;;1;;;1;;;;;;;;;;1;2;1;2;2;1;9;9;9;9;9;9;5;5;5;5;5;5
647699;237;2;1;2;793.15528584;3;2;2;1;1;1;2;2;2;2;2;2;;;4;3;3;2;2;1;1;1;2;2;2;2;2;2;2;1;1;;1;;;;;;;;;;;;;;;;2;3;4;3;4;3;;4;3;;;;;1;;;;;;;;;;2;2;2;2;2;2;9;9;9;9;9;9;5;5;4;3;5;5
647699;237;3;1;3;793.15528584;2;;;;;;;;;;;;;;3;2;3;2;2;2;2;1;2;2;2;2;2;2;2;1;1;;1;;;;;;;;;;;;;;;;2;2;2;2;5;2;;3;2;;;;;1;;;;;;;;;;1;1;1;2;2;1;9;9;9;9;9;9;5;5;5;2;5;5
647700;237;1;1;1;523.45920585;3;2;2;2;1;1;2;2;2;2;2;2;;;5;3;3;2;2;2;1;1;2;2;2;2;2;1;1;1;1;;1;;;;;;;;;;;;;;;;2;3;3;3;5;3;;5;5;;;;1;;;;;;;;;;;2;2;2;2;2;2;9;9;9;9;9;9;5;5;3;3;5;5
647700;237;2;1;2;523.45920585;3;2;2;1;1;1;2;2;2;2;2;2;;;5;3;3;2;2;1;1;1;2;2;2;2;2;2;2;1;1;;1;;;;;;;;;;;;;;;;2;2;3;3;5;3;;4;5;;1;;;1;;;;;;;;;;2;2;2;2;2;2;9;9;9;9;9;9;5;5;2;2;5;5
647700;237;3;1;3;523.45920585;3;2;2;1;1;2;2;2;2;2;2;2;;;4;3;3;2;2;1;1;2;2;2;2;2;2;2;2;1;1;;1;;;;;;;;;;;;;;;;2;2;4;3;4;3;;4;2;;;;;1;;;;;;;;;;1;1;1;2;2;1;9;9;9;9;9;9;5;5;4;3;5;5
647700;237;5;1;5;523.45920585;3;2;2;2;1;2;2;2;2;2;2;2;;;5;3;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;;1;;;;;;;;;;;;;;;;2;2;3;3;5;3;;4;5;;;;;1;;;;;;;;;;1;2;1;2;2;2;9;9;9;9;9;9;5;5;3;3;5;5
647701;237;1;1;1;587.83719049;3;2;2;1;1;1;1;1;1;1;2;1;;;3;3;3;2;2;1;1;1;1;1;1;1;1;2;2;3;2;;;;;;;;;;;;;;;;;;2;3;2;2;3;3;;4;3;;;;;1;;;1;;;;;;;1;2;1;2;2;1;9;9;9;9;9;9;4;4;4;4;4;5
647701;237;2;1;2;587.83719049;3;2;2;2;1;1;1;1;1;1;2;1;;;3;3;3;2;2;1;1;1;1;1;1;1;1;2;2;2;2;;;;;;;;;;;;;;;;;;2;3;3;3;4;3;;3;3;1;1;1;1;1;1;;1;;;;1;;;1;2;1;2;2;1;9;9;9;9;9;9;4;4;4;3;4;4
647701;237;3;1;3;587.83719049;3;2;2;2;1;1;1;2;1;1;2;1;;;3;3;3;2;2;1;1;1;1;1;1;1;1;1;1;3;2;;;;;;;;;;;;;;;;;;2;3;3;3;3;3;;4;4;;;;;;;;;;;;;;2;1;2;1;2;2;2;9;9;9;9;9;9;4;5;4;4;4;4
647702;237;1;1;1;723.75514517;3;1;2;2;1;1;1;1;2;2;2;2;;;3;3;3;1;1;2;1;1;1;1;1;1;1;1;1;2;1;;1;1;;;;;;;;;;;;;;;3;3;3;3;3;3;;3;4;;;1;;1;1;;;;;;;;;2;2;1;2;2;1;1;9;2;2;2;2;5;5;4;4;4;4
647702;237;2;1;2;723.75514517;2;;;;;;;;;;;;;;3;2;3;2;2;2;1;1;1;1;1;1;1;1;1;2;2;;;;;;;;;;;;;;;;;;2;3;3;3;3;3;;3;3;;1;1;1;1;1;1;1;1;1;1;1;;;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4
647702;237;3;1;3;723.75514517;3;1;2;1;1;1;1;1;1;1;2;1;;;3;3;3;1;1;2;1;1;1;1;1;1;1;1;1;3;1;;1;;;;;;;;;;;;;;;;3;3;3;3;3;3;;3;3;;;;;;;;;;;;;;2;1;2;1;2;2;1;9;9;9;9;9;9;4;4;3;3;3;4
647702;237;7;2;1;723.75514517;3;1;2;2;1;1;1;1;1;1;1;1;;;4;4;3;1;2;2;1;1;1;1;1;1;1;1;1;3;2;;;;;;;;;;;;;;;;;;3;4;2;2;3;3;;3;5;;;;;;;;;;;;;;2;1;2;1;2;2;1;9;9;9;9;9;9;4;3;3;3;3;3
647704;237;1;1;1;587.74319333;3;2;2;1;1;1;1;1;1;1;2;1;;;3;2;3;2;2;1;1;1;1;1;1;1;1;1;1;2;2;;;;;;;;;;;;;;;;;;2;5;5;3;5;3;;4;5;;;;;;;;;;;;;;2;1;1;1;2;2;1;2;2;2;2;2;2;4;4;4;4;5;4
647704;237;2;1;2;587.74319333;3;2;2;1;1;1;1;1;1;1;1;1;;;3;3;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;2;2;2;3;3;;3;3;;;;;1;1;;;;;;1;;;1;2;1;1;2;1;2;2;2;2;2;2;4;4;4;3;4;4
647705;237;1;1;1;671.64276424;3;2;2;1;1;1;1;1;1;1;1;1;;;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;3;2;;;;;;;;;;;;;;;;;;2;5;2;4;3;3;;3;5;;;;;;;;;;;;;;2;1;2;1;2;2;1;1;2;2;2;2;2;5;4;3;3;3;4
647705;237;2;1;2;671.64276424;3;2;2;1;1;1;1;1;1;1;1;1;;;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;3;2;;;;;;;;;;;;;;;;;;2;4;3;3;3;3;;3;3;;;;;;;;;;;;;;2;1;2;1;2;2;1;2;2;2;2;2;2;4;4;4;4;4;4
647710;237;1;1;1;501.81074173;2;;;;;;;;;;;;;;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;1;2;;;;;;;;;;;;;;;;;;1;2;2;2;5;2;;2;2;;;1;;;;;;;;;;;;1;1;1;2;2;2;9;9;9;9;9;9;5;5;5;5;5;5
647710;237;2;1;2;501.81074173;1;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;;1;1;;;;;;;;;;1;;;;;1;2;2;1;2;2;2;2;2;2;2;2;5;5;5;5;5;5
647711;237;1;1;1;501.81074173;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;1;1;2;2;2;2;;2;2;;;;1;;;;;;;;;;;2;1;2;2;2;1;2;2;2;2;2;2;4;5;4;5;4;5
647711;237;2;1;2;501.81074173;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;;5;5;;;;;1;;;;;;;;;;2;1;1;2;2;1;2;2;2;2;2;2;4;4;4;4;4;4
647712;237;1;1;1;752.35662302;1;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;;2;2;;;;;;;;;1;;;;;;2;2;2;2;2;2;9;9;9;9;9;9;5;5;5;5;5;5
647712;237;2;1;2;752.35662302;1;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;;1;1;;;1;1;1;;1;;;;;;;;2;2;2;2;2;2;9;9;9;9;9;9;5;5;5;5;5;5
647713;237;1;1;1;451.92763679;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;;2;2;;1;;1;;;;;;;;;;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3
647715;237;1;1;1;2059.4003014;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;;1;5;;;1;;;;;;;;;;;;2;2;2;2;2;2;9;9;9;9;9;9;5;5;5;5;5;5
647715;237;2;1;2;2059.4003014;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;2;2;1;1;1;1;;1;1;;;1;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
647715;237;3;1;3;2059.4003014;1;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;;1;1;;;;;1;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
647716;237;1;1;1;451.92763679;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;2;3;3;2;2;;2;3;;1;;;;1;;;;;;;;;1;2;1;2;2;1;2;2;2;2;2;2;3;4;4;4;4;5
647716;237;2;1;2;451.92763679;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;2;2;2;3;3;3;;2;2;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;4;5;5;5
647717;237;1;1;1;1932.9282564;1;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;;1;1;;;;;1;;;;;1;1;;;;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
647717;237;2;1;2;1932.9282564;1;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;;1;1;1;;1;;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5
647718;237;2;1;2;1932.9282564;2;;;;;;;;;;;;;;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;3;2;1;1;2;2;;2;1;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;5;4;3;4;4;4
647718;237;1;1;1;1932.9282564;2;;;;;;;;;;;;;;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;3;2;;;;;;;;;;;;;;;;;;2;3;3;2;3;4;;3;3;;1;;;;;;1;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;3;2
647719;237;1;1;1;451.92763679;2;;;;;;;;;;;;;;2;3;2;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;2;3;3;3;2;3;;3;3;;;;;;;;;;;;;;2;1;1;1;2;2;1;2;2;2;2;2;2;3;3;4;4;4;4
